#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:600:1:0,0,1603:45:16:600:0,1603:45:16:600:1:0,Asunción,PY00,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:1,1,1603:45:16:600:0,1603:45:16:600:1:1,Concepción,PY01,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:2,2,1603:45:16:600:0,1603:45:16:600:1:2,San Pedro,PY02,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:3,3,1603:45:16:600:0,1603:45:16:600:1:3,Cordillera,PY03,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:4,4,1603:45:16:600:0,1603:45:16:600:1:4,Guairá,PY04,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:5,5,1603:45:16:600:0,1603:45:16:600:1:5,Caaguazú,PY05,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:6,6,1603:45:16:600:0,1603:45:16:600:1:6,Caazapá,PY06,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:7,7,1603:45:16:600:0,1603:45:16:600:1:7,Itapúa,PY07,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:8,8,1603:45:16:600:0,1603:45:16:600:1:8,Misiones,PY08,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:9,9,1603:45:16:600:0,1603:45:16:600:1:9,Paraguarí,PY09,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:10,10,1603:45:16:600:0,1603:45:16:600:1:10,Alto Paraná,PY10,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:11,11,1603:45:16:600:0,1603:45:16:600:1:11,Central,PY11,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:12,12,1603:45:16:600:0,1603:45:16:600:1:12,Ñeembucú,PY12,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:13,13,1603:45:16:600:0,1603:45:16:600:1:13,Amambay,PY13,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:14,14,1603:45:16:600:0,1603:45:16:600:1:14,Canindeyú,PY14,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:15,15,1603:45:16:600:0,1603:45:16:600:1:15,Presidente Hayes,PY15,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:16,16,1603:45:16:600:0,1603:45:16:600:1:16,Boquerón,PY16,,,,Paraguay,PY,2017-10-11,2020-09-16,
1603:45:16:600:1:17,17,1603:45:16:600:0,1603:45:16:600:1:17,Alto Paraguay,PY17,,,,Paraguay,PY,2017-10-11,2020-09-16,
