#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:690:3:1109,1109,Bel Air,SC1109BA,,,,Central 1 Mahe,SC11,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1116,1116,English River,SC1116ER,,,,Central 1 Mahe,SC11,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1117,1117,Mont Buxton,SC1117MB,,,,Central 1 Mahe,SC11,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1122,1122,Saint Louis,SC1122SL,,,,Central 1 Mahe,SC11,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1127,1127,Perseverance Island,SC1127PI,,,,Central 1 Mahe,SC11,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1218,1218,Mont Fleuri,SC1218MF,,,,Central 2 Mahe,SC12,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1219,1219,Plaisance,SC1219PA,,,,Central 2 Mahe,SC12,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1224,1224,Les Mamelles,SC1224LM,,,,Central 2 Mahe,SC12,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1225,1225,Roche Caiman,SC1225RC,,,,Central 2 Mahe,SC12,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1301,1301,Anse Aux Pins,SC1301AA,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1304,1304,Au Cap,SC1304AC,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1305,1305,Anse Royale,SC1305AR,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1311,1311,Cascade,SC1311CA,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1320,1320,Pointe Larue,SC1320PL,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1323,1323,Takamaka,SC1323TA,,,,East Mahe,SC13,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1402,1402,Anse Boileau,SC1402AB,,,,West Mahe,SC14,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1406,1406,Baie Lazare,SC1406BL,,,,West Mahe,SC14,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1413,1413,Grand Anse Mahe,SC1413GM,,,,West Mahe,SC14,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1421,1421,Port Glaud,SC1421PG,,,,West Mahe,SC14,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1503,1503,Anse Etoile,SC1503AE,,,,North Mahe,SC15,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1508,1508,Beau Vallon,SC1508BV,,,,North Mahe,SC15,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1510,1510,Belombre,SC1510BO,,,,North Mahe,SC15,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:1512,1512,Glacis,SC1512GL,,,,North Mahe,SC15,Mahe,SC1,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:2607,2607,Baie Sainte Anne,SC2607BS,,,,Praslin,SC26,Praslin,SC2,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:2614,2614,Grand Anse Praslin,SC2614GP,,,,Praslin,SC26,Praslin,SC2,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:3615,3615,La Digue,SC3615LD,,,,La Digue,SC36,La Digue,SC3,Seychelles,SC,2020-05-28,2020-05-28,
1603:45:16:690:3:4726,4726,Other Islands,SC4726OI,,,,Other Islands,SC47,Other Islands,SC4,Seychelles,SC,2020-05-28,2020-05-28,
